Itr,train-AverageReturn,Time-Optimization,train-EnvExecTime,train-MinReturn,Time-SampleProc,train-NumTrajs,LossAfter,n_timesteps,Time-Sampling,train-AverageDiscountedReturn,train-MaxReturn,train-PolicyExecTime,train-StdReturn,LossBefore,Time,ItrTime
73,79.9852499148916,0.20365595817565918,2.0740623474121094,0.889291854252263,0.0687716007232666,100,-0.015387312,740000,5.878712892532349,46.78601290225238,155.93183361467354,3.6129684448242188,29.53608208901026,-1.2013483e-05,466.8131697177887,6.16245174407959
74,76.93811591313052,0.23104190826416016,2.0370285511016846,-30.478739927634795,0.04514765739440918,100,-0.016591707,750000,5.785668611526489,44.7073448611936,142.99346341796488,3.5557587146759033,33.143106309276114,-1.1971435e-05,472.88544821739197,6.062145948410034
75,80.97568904096795,0.21863460540771484,2.2590818405151367,-31.03824400159529,0.05054926872253418,100,-0.013943633,760000,6.40248441696167,47.086090275907765,152.38601388587549,3.930499792098999,28.583927986573286,-1.1963317e-05,479.5686936378479,6.671961784362793
76,82.30152523139974,0.22505855560302734,2.1066722869873047,-51.28408026443756,0.04113411903381348,100,-0.01454519,770000,5.986628293991089,47.87948437443548,147.5254959403069,3.687227487564087,30.60352869826686,-1.1922999e-05,485.8321282863617,6.25304913520813
77,79.23722525051771,0.20961236953735352,2.0258376598358154,-48.98177829423907,0.04518604278564453,100,-0.015885022,780000,5.798083543777466,45.93159789318629,139.5292278826126,3.5846498012542725,34.58928746936793,-1.1866769e-05,491.8949456214905,6.053253173828125
78,85.94272071962033,0.2076115608215332,2.2239458560943604,-31.95789059493755,0.04581856727600098,100,-0.01717002,790000,6.282119035720825,49.91885423804564,155.72736993169528,3.8578262329101562,34.41758750361436,-1.1836248e-05,498.4419193267822,6.535783290863037
79,89.29948703707862,0.20419740676879883,2.098693609237671,-10.281110437441455,0.08170771598815918,100,-0.015395456,800000,5.984285354614258,52.0232166908796,144.07486425068691,3.690788984298706,26.72835567693929,-1.1779232e-05,504.7215759754181,6.270407676696777
80,80.50143481464505,0.24503779411315918,2.132600784301758,-52.621008252552386,0.038053274154663086,100,-0.015307519,810000,6.0541770458221436,47.410743366600144,137.97878332350336,3.727672815322876,33.340935998090465,-1.1750187e-05,511.06948924064636,6.337493181228638
81,93.961837151262,0.2333078384399414,2.195054054260254,-91.97977193098512,0.07028651237487793,100,-0.016030073,820000,6.315166234970093,54.65505897444199,164.13184065427168,3.9154210090637207,31.672409803572382,-1.171133e-05,517.699140548706,6.619012832641602
82,86.52938368928126,0.2284536361694336,2.2753477096557617,-59.73384841285544,0.05279827117919922,100,-0.013387327,830000,6.580199241638184,50.80850939895264,158.48582168235322,4.096719026565552,36.07263613560064,-1.165179e-05,524.5716013908386,6.861658811569214
83,88.9953648890989,0.216017484664917,2.0911359786987305,-57.87703136295881,0.08078837394714355,100,-0.013022382,840000,5.9505064487457275,51.584121803289456,156.00101046677486,3.6688599586486816,33.69654958297297,-1.1613936e-05,530.8298425674438,6.247537612915039
84,99.51194368646549,0.22237110137939453,2.0529940128326416,-76.00639951431255,0.0444638729095459,100,-0.014663209,850000,5.8332037925720215,57.70258577700467,172.1621841599099,3.5793182849884033,36.600829211570215,-1.156556e-05,536.9407458305359,6.100295305252075
85,97.7337516636241,0.20002079010009766,2.228823661804199,8.36823418202144,0.07797050476074219,100,-0.016227566,860000,6.322173118591309,57.3445900457686,155.33788628597276,3.889322519302368,33.70918552365553,-1.1518856e-05,543.5512981414795,6.6003546714782715
86,93.9421342308101,0.21222138404846191,2.0875370502471924,-67.4545819542459,0.04558968544006348,100,-0.012183399,870000,5.917264223098755,54.6980506172883,172.72367506307356,3.6361052989959717,40.258746968715705,-1.1509168e-05,549.7373943328857,6.175282716751099
87,105.83599454975293,0.23099422454833984,2.0315322875976562,-31.43298384201202,0.03661394119262695,100,-0.015954839,880000,5.749330282211304,61.32121222887532,185.04481515123484,3.5293705463409424,32.50434559267221,-1.146062e-05,555.7648527622223,6.017157316207886
88,98.39133460974278,0.2139887809753418,2.185947895050049,-89.07586533145299,0.036811113357543945,100,-0.01290763,890000,6.217001438140869,56.9845617359251,191.7493812516873,3.810211181640625,44.06333623283317,-1.1458004e-05,562.2448613643646,6.468074560165405
89,96.31116494777645,0.2324662208557129,2.190659999847412,-46.326010229813136,0.05325174331665039,100,-0.015255053,900000,6.180810213088989,55.650457404005984,155.41134023556728,3.7889530658721924,36.125118971058335,-1.1425415e-05,568.7226197719574,6.466853141784668
