Iteration	TimestepsThisBatch	Time	PoolSize	TimestepsSoFar	Episodes	LastEpReturn	MaxEpReturn
269	1000	3656.7106709480286	271000	271000	403	2632.6253701039136	2854.095507700545
270	1000	3669.356659889221	272000	272000	405	647.8459670091025	2854.095507700545
271	1000	3681.6430475711823	273000	273000	406	2470.7330646340774	2854.095507700545
272	1000	3694.2281279563904	274000	274000	407	2736.6409304748886	2854.095507700545
273	1000	3706.276289701462	275000	275000	408	2647.317069444508	2854.095507700545
274	1000	3718.4879767894745	276000	276000	409	2565.809749642574	2854.095507700545
275	1000	3730.4182407855988	277000	277000	410	1794.8481807163844	2854.095507700545
276	1000	3742.50284743309	278000	278000	411	2765.762955929352	2854.095507700545
277	1000	3755.2997784614563	279000	279000	412	2816.698548976041	2854.095507700545
278	1000	3767.5710315704346	280000	280000	414	1160.3113025795096	2854.095507700545
279	1000	3779.114742040634	281000	281000	415	906.6331335676208	2854.095507700545
280	1000	3790.797784805298	282000	282000	417	1576.1478789614769	2854.095507700545
281	1000	3804.131105184555	283000	283000	418	1664.5260498879147	2854.095507700545
282	1000	3816.7818031311035	284000	284000	420	348.85749699971916	2854.095507700545
283	1000	3828.955162525177	285000	285000	421	2858.9574700525045	2858.9574700525045
284	1000	3841.883772611618	286000	286000	422	2755.0640698410207	2858.9574700525045
285	1000	3854.3273618221283	287000	287000	424	672.8150802409518	2858.9574700525045
286	1000	3867.475568294525	288000	288000	425	2523.09117744646	2858.9574700525045
287	1000	3879.58255815506	289000	289000	427	320.6410660520682	2858.9574700525045
288	1000	3891.683720588684	290000	290000	428	2749.790983708417	2858.9574700525045
289	1000	3904.1277520656586	291000	291000	430	1097.684013312582	2858.9574700525045
290	1000	3916.4092514514923	292000	292000	431	2690.427445342251	2858.9574700525045
291	1000	3928.593743085861	293000	293000	433	85.05462833428523	2858.9574700525045
292	1000	3940.5350437164307	294000	294000	434	365.998432738408	2858.9574700525045
293	1000	3952.775005340576	295000	295000	435	1923.6362748187692	2858.9574700525045
294	1000	3964.9837045669556	296000	296000	436	889.7251989120975	2858.9574700525045
295	1000	3977.1085307598114	297000	297000	439	1410.4750548398438	2858.9574700525045
296	1000	3989.417707681656	298000	298000	440	2871.0253580452863	2871.0253580452863
297	1000	4001.2326922416687	299000	299000	441	2955.3829421281157	2955.3829421281157
298	1000	4013.0893893241882	300000	300000	442	940.6910710132468	2955.3829421281157
299	1000	4025.0811598300934	301000	301000	443	2807.4806657845165	2955.3829421281157
300	1000	4037.651089668274	302000	302000	445	2330.794651276544	2955.3829421281157
301	1000	4049.3637223243713	303000	303000	446	2720.6344076775713	2955.3829421281157
302	1000	4061.8506615161896	304000	304000	447	2880.6927790133627	2955.3829421281157
303	1000	4074.6513731479645	305000	305000	448	178.7028993504158	2955.3829421281157
304	1000	4086.907401561737	306000	306000	449	2455.9511081001065	2955.3829421281157
305	1000	4099.1918976306915	307000	307000	451	2473.4482662350024	2955.3829421281157
306	1000	4111.062930107117	308000	308000	452	1146.8529222192224	2955.3829421281157
307	1000	4123.426396369934	309000	309000	453	1594.2248091906968	2955.3829421281157
308	1000	4135.470351219177	310000	310000	454	2295.6388440839582	2955.3829421281157
309	1000	4148.752189397812	311000	311000	455	2715.4686732808937	2955.3829421281157
310	1000	4160.712074995041	312000	312000	456	2679.1749018490054	2955.3829421281157
311	1000	4172.855395793915	313000	313000	457	406.2541461207082	2955.3829421281157
312	1000	4185.573722362518	314000	314000	458	2732.4004790502167	2955.3829421281157
313	1000	4197.4467253685	315000	315000	459	2740.7806759627383	2955.3829421281157
314	1000	4209.929301738739	316000	316000	460	2836.7900732562493	2955.3829421281157
315	1000	4221.815062999725	317000	317000	461	2890.709484882903	2955.3829421281157
316	1000	4234.828814744949	318000	318000	462	3052.229891001767	3052.229891001767
317	1000	4247.103119850159	319000	319000	463	2847.7010740860082	3052.229891001767
318	1000	4259.823477268219	320000	320000	464	2975.179060076606	3052.229891001767
319	1000	4271.6865265369415	321000	321000	465	2815.5913845167024	3052.229891001767
320	1000	4283.89960026741	322000	322000	466	2830.5031610471947	3052.229891001767
321	1000	4296.189654111862	323000	323000	468	1031.7821817470997	3052.229891001767
322	1000	4307.839182376862	324000	324000	469	2899.4835813180152	3052.229891001767
323	1000	4319.91511797905	325000	325000	471	165.54156462243066	3052.229891001767
324	1000	4331.992652654648	326000	326000	472	3040.7430557611806	3052.229891001767
325	1000	4344.4632387161255	327000	327000	473	2726.6700891748505	3052.229891001767
326	1000	4357.666902303696	328000	328000	474	2875.630986549215	3052.229891001767
327	1000	4369.890968799591	329000	329000	475	3047.0877309978364	3052.229891001767
328	1000	4381.847591161728	330000	330000	476	2981.4354200874463	3052.229891001767
329	1000	4394.145085811615	331000	331000	478	469.21141768299276	3052.229891001767
330	1000	4406.408956289291	332000	332000	479	2987.4494700275013	3052.229891001767
