Iteration	Time	TimestepsThisBatch	PoolSize	LastEpReturn	Episodes	MaxEpReturn	TimestepsSoFar
201	1905.209712266922	1000	203000	-273.96744552894444	553	1163.6681241822496	203000
202	1913.806678056717	1000	204000	-99.59939526889882	555	1163.6681241822496	204000
203	1923.2571322917938	1000	205000	-97.16385596574203	557	1163.6681241822496	205000
204	1934.3363773822784	1000	206000	-232.7912178174746	558	1163.6681241822496	206000
205	1945.7022292613983	1000	207000	-178.3701411649815	562	1163.6681241822496	207000
206	1956.7217664718628	1000	208000	-2955.89969025564	563	1163.6681241822496	208000
207	1968.0666925907135	1000	209000	-2910.725224870694	564	1163.6681241822496	209000
208	1975.9847385883331	1000	210000	-406.2379743256869	567	1163.6681241822496	210000
209	1984.6710278987885	1000	211000	-33.55171436986372	570	1163.6681241822496	211000
210	1993.241884469986	1000	212000	-2998.1440275099376	571	1163.6681241822496	212000
211	2002.7845640182495	1000	213000	-286.0329838805801	573	1163.6681241822496	213000
212	2014.1193256378174	1000	214000	-289.82323895731884	585	1163.6681241822496	214000
213	2025.0624597072601	1000	215000	-27.661189798475892	590	1163.6681241822496	215000
214	2032.783077955246	1000	216000	-2940.127770342136	591	1163.6681241822496	216000
215	2040.917056798935	1000	217000	-2927.8803808226758	592	1163.6681241822496	217000
216	2049.3891339302063	1000	218000	-1634.7444029248863	593	1163.6681241822496	218000
217	2058.5439739227295	1000	219000	-262.1678900895494	600	1163.6681241822496	219000
218	2069.310542345047	1000	220000	-160.23390288132478	603	1163.6681241822496	220000
219	2080.6916341781616	1000	221000	-2946.409825843915	604	1163.6681241822496	221000
220	2089.7514979839325	1000	222000	-147.24829717968285	607	1163.6681241822496	222000
221	2097.7931048870087	1000	223000	-758.0876770891892	610	1163.6681241822496	223000
222	2105.985821247101	1000	224000	-3053.184527843179	611	1163.6681241822496	224000
223	2115.0561439990997	1000	225000	-202.12682242358756	613	1163.6681241822496	225000
224	2125.167686700821	1000	226000	-218.228920904081	616	1163.6681241822496	226000
225	2136.469969511032	1000	227000	-159.3325381849839	618	1163.6681241822496	227000
226	2146.65079498291	1000	228000	-210.935308780626	620	1163.6681241822496	228000
227	2154.750777721405	1000	229000	-271.06430097479563	622	1163.6681241822496	229000
228	2162.960806131363	1000	230000	-2963.4821701568103	623	1163.6681241822496	230000
229	2171.1156754493713	1000	231000	-30.97238692423213	627	1163.6681241822496	231000
230	2179.4868874549866	1000	232000	-231.56061799222408	629	1163.6681241822496	232000
231	2188.6756393909454	1000	233000	-393.2245221388309	630	1163.6681241822496	233000
232	2198.7207911014557	1000	234000	-2967.6014368743954	631	1163.6681241822496	234000
233	2210.10081243515	1000	235000	-2958.0711578652003	632	1163.6681241822496	235000
234	2219.7175142765045	1000	236000	-38.52204600295782	634	1163.6681241822496	236000
235	2227.7287340164185	1000	237000	-188.22958216818063	638	1163.6681241822496	237000
236	2235.8473665714264	1000	238000	-37.06746995181931	640	1163.6681241822496	238000
237	2244.6373612880707	1000	239000	-2923.4121790166296	641	1163.6681241822496	239000
238	2254.082061290741	1000	240000	-28.7200163787229	644	1163.6681241822496	240000
239	2265.4144146442413	1000	241000	-2935.8542664270653	645	1163.6681241822496	241000
240	2276.724541902542	1000	242000	-2916.33349887738	646	1163.6681241822496	242000
241	2286.882959127426	1000	243000	-2956.7022461071588	647	1163.6681241822496	243000
242	2294.9259490966797	1000	244000	-46.659999363481774	650	1163.6681241822496	244000
243	2302.935214996338	1000	245000	-862.7352086766608	653	1163.6681241822496	245000
244	2311.4229769706726	1000	246000	-2917.7104431888174	654	1163.6681241822496	246000
245	2320.766450405121	1000	247000	-101.62216703921368	656	1163.6681241822496	247000
246	2332.0624737739563	1000	248000	-2937.2172956448703	657	1163.6681241822496	248000
247	2343.44561624527	1000	249000	-2972.6542028261783	658	1163.6681241822496	249000
248	2354.6461901664734	1000	250000	-2956.2663869154235	659	1163.6681241822496	250000
249	2362.9945254325867	1000	251000	-2914.300821704682	660	1163.6681241822496	251000
250	2370.9665093421936	1000	252000	-2952.379516269118	661	1163.6681241822496	252000
251	2378.954533100128	1000	253000	-36.53689651755129	665	1163.6681241822496	253000
252	2388.2532019615173	1000	254000	-258.24867573148083	666	1163.6681241822496	254000
253	2398.747517347336	1000	255000	-216.96522144949523	669	1163.6681241822496	255000
254	2409.9364018440247	1000	256000	-2951.0091581702536	670	1163.6681241822496	256000
255	2421.0722346305847	1000	257000	-2955.440231309971	671	1163.6681241822496	257000
256	2432.2010746002197	1000	258000	-186.26766440503818	675	1163.6681241822496	258000
257	2442.5430188179016	1000	259000	-33.875580252013606	679	1163.6681241822496	259000
258	2450.264495611191	1000	260000	-31.594422668399503	683	1163.6681241822496	260000
259	2458.265419960022	1000	261000	-2970.8698562826094	684	1163.6681241822496	261000
260	2466.4839136600494	1000	262000	-483.66465530559947	687	1163.6681241822496	262000
261	2474.5743446350098	1000	263000	-2971.959949259104	688	1163.6681241822496	263000
262	2483.885456085205	1000	264000	-308.80287610382743	692	1163.6681241822496	264000
263	2493.329865217209	1000	265000	-105.31279221006176	694	1163.6681241822496	265000
264	2504.471848487854	1000	266000	-35.62980986539414	696	1163.6681241822496	266000
265	2515.7950530052185	1000	267000	-2936.044485075745	697	1163.6681241822496	267000
266	2526.914187669754	1000	268000	-127.38802647000568	699	1163.6681241822496	268000
267	2535.302649974823	1000	269000	-439.3087786515283	702	1163.6681241822496	269000
268	2543.2839918136597	1000	270000	-50.897179675552785	706	1163.6681241822496	270000
269	2551.350436449051	1000	271000	-413.06948264267015	708	1163.6681241822496	271000
270	2560.6816544532776	1000	272000	-2327.407883995906	710	1163.6681241822496	272000
271	2571.292049884796	1000	273000	-3019.272010569406	711	1163.6681241822496	273000
272	2582.765167236328	1000	274000	-54.16362577322453	713	1163.6681241822496	274000
273	2592.4760229587555	1000	275000	-3010.1582104217414	714	1163.6681241822496	275000
274	2600.429862499237	1000	276000	-2982.4622062560265	715	1163.6681241822496	276000
275	2608.5598182678223	1000	277000	-2991.27175213524	716	1163.6681241822496	277000
276	2617.226662874222	1000	278000	-1388.5003039850562	718	1163.6681241822496	278000
277	2626.903507709503	1000	279000	-642.054453252992	721	1163.6681241822496	279000
278	2638.3669154644012	1000	280000	-48.37679837758214	723	1163.6681241822496	280000
279	2649.521186351776	1000	281000	-56.89238659891586	735	1163.6681241822496	281000
280	2658.5846610069275	1000	282000	-315.5737955544163	737	1163.6681241822496	282000
281	2666.583284854889	1000	283000	-124.1443859718965	740	1163.6681241822496	283000
282	2674.759960412979	1000	284000	-441.7565254740016	742	1163.6681241822496	284000
283	2684.18119931221	1000	285000	-2919.2006880391605	743	1163.6681241822496	285000
284	2694.29842877388	1000	286000	-3029.4268084389423	744	1163.6681241822496	286000
285	2705.7585310935974	1000	287000	-2911.0434352578095	745	1163.6681241822496	287000
286	2717.03737783432	1000	288000	-113.73834238542706	747	1163.6681241822496	288000
287	2728.3502340316772	1000	289000	-87.33584811684753	753	1163.6681241822496	289000
288	2736.4842426776886	1000	290000	-2909.6474526360034	754	1163.6681241822496	290000
289	2744.426495552063	1000	291000	-108.38350055235817	762	1163.6681241822496	291000
290	2752.695323705673	1000	292000	-130.7269000097659	764	1163.6681241822496	292000
291	2761.9166254997253	1000	293000	-210.80152028719377	766	1163.6681241822496	293000
292	2772.5009396076202	1000	294000	-263.9785988946887	772	1163.6681241822496	294000
293	2783.8243296146393	1000	295000	-88.46271647725693	774	1163.6681241822496	295000
294	2794.927341938019	1000	296000	-356.63552841447296	776	1163.6681241822496	296000
295	2806.0485911369324	1000	297000	-2946.1009657887093	777	1163.6681241822496	297000
296	2813.756920814514	1000	298000	-2935.6849489130223	778	1163.6681241822496	298000
297	2821.7232406139374	1000	299000	-168.58941922720962	781	1163.6681241822496	299000
298	2830.0198764801025	1000	300000	-366.5769703070268	785	1163.6681241822496	300000
299	2839.5458929538727	1000	301000	-99.15564587495837	788	1163.6681241822496	301000
300	2850.462886095047	1000	302000	-199.73641137051567	796	1163.6681241822496	302000
301	2861.4589116573334	1000	303000	-2907.713396945853	797	1163.6681241822496	303000
302	2869.3138422966003	1000	304000	-522.1722308008499	805	1163.6681241822496	304000
303	2877.185197353363	1000	305000	-200.93833679420112	811	1163.6681241822496	305000
304	2885.6626698970795	1000	306000	-840.6112910490111	813	1163.6681241822496	306000
305	2895.2593371868134	1000	307000	-2964.420066121949	814	1163.6681241822496	307000
306	2906.1768293380737	1000	308000	-50.91849343310402	819	1163.6681241822496	308000
307	2916.15225148201	1000	309000	-618.1998676337381	821	1163.6681241822496	309000
308	2924.0911350250244	1000	310000	-59.597803513431394	828	1163.6681241822496	310000
309	2932.1583416461945	1000	311000	-2963.1444255851507	829	1163.6681241822496	311000
310	2940.774416208267	1000	312000	-1821.1083997941817	830	1163.6681241822496	312000
311	2950.23193192482	1000	313000	-2959.2993911165377	831	1163.6681241822496	313000
312	2961.5122649669647	1000	314000	-2952.4663146106227	832	1163.6681241822496	314000
313	2972.8682219982147	1000	315000	-2922.64985178296	833	1163.6681241822496	315000
314	2984.2334105968475	1000	316000	-216.63369572874458	835	1163.6681241822496	316000
315	2995.357364654541	1000	317000	-2962.2746810679882	836	1163.6681241822496	317000
316	3005.070960044861	1000	318000	-930.5857609799508	838	1163.6681241822496	318000
317	3013.247566461563	1000	319000	-2945.702556377707	839	1163.6681241822496	319000
318	3021.271386861801	1000	320000	-3013.053130576297	840	1163.6681241822496	320000
319	3029.9984493255615	1000	321000	-59.94905798929912	844	1163.6681241822496	321000
320	3040.318506002426	1000	322000	-898.7417334615487	847	1163.6681241822496	322000
321	3050.9027075767517	1000	323000	-1124.1626686223074	848	1163.6681241822496	323000
322	3058.8444044589996	1000	324000	-86.0520516245727	850	1163.6681241822496	324000
323	3067.0502829551697	1000	325000	-117.77690186991317	853	1163.6681241822496	325000
324	3075.575037956238	1000	326000	-112.13587741527475	856	1163.6681241822496	326000
325	3084.9553730487823	1000	327000	-638.4362379802074	859	1163.6681241822496	327000
326	3095.8160331249237	1000	328000	-2957.695774621658	860	1163.6681241822496	328000
327	3107.1371715068817	1000	329000	-37.748201856078445	862	1163.6681241822496	329000
328	3118.5734333992004	1000	330000	-184.9293934489099	866	1163.6681241822496	330000
329	3127.350638628006	1000	331000	-142.84744987740825	870	1163.6681241822496	331000
330	3135.509114265442	1000	332000	-52.8967126545323	875	1163.6681241822496	332000
331	3143.875152349472	1000	333000	-251.53335105294465	878	1163.6681241822496	333000
332	3152.9748475551605	1000	334000	-323.3685563168611	885	1163.6681241822496	334000
333	3163.211300134659	1000	335000	-127.42451320174231	888	1163.6681241822496	335000
334	3174.5094130039215	1000	336000	-27.00383651155029	890	1163.6681241822496	336000
335	3183.235873222351	1000	337000	-57.28400095170625	900	1163.6681241822496	337000
336	3191.1355516910553	1000	338000	-26.19330356108049	904	1163.6681241822496	338000
337	3199.218295812607	1000	339000	-44.419501884482585	907	1163.6681241822496	339000
338	3208.1186356544495	1000	340000	-182.6247435929924	910	1163.6681241822496	340000
339	3218.381078481674	1000	341000	-330.75421427163946	913	1163.6681241822496	341000
340	3229.960785150528	1000	342000	-2999.4534229972023	914	1163.6681241822496	342000
341	3240.995710134506	1000	343000	-37.58528244685466	916	1163.6681241822496	343000
342	3251.68315577507	1000	344000	-2939.6980496636843	917	1163.6681241822496	344000
343	3259.7354028224945	1000	345000	-2980.5145007795613	918	1163.6681241822496	345000
344	3267.8587579727173	1000	346000	-258.60920114184535	920	1163.6681241822496	346000
345	3276.7131848335266	1000	347000	-2928.0527913973533	921	1163.6681241822496	347000
346	3286.193167448044	1000	348000	-2930.005309660036	922	1163.6681241822496	348000
347	3297.3968884944916	1000	349000	-238.93997784700187	924	1163.6681241822496	349000
348	3307.7435326576233	1000	350000	-2937.5160134541024	925	1163.6681241822496	350000
349	3315.7159349918365	1000	351000	-2940.009942051231	926	1163.6681241822496	351000
350	3323.710473537445	1000	352000	-587.2574887363585	928	1163.6681241822496	352000
