Itr,LossBefore,train-MinReturn,n_timesteps,train-NumTrajs,train-AverageDiscountedReturn,Time-SampleProc,Time,train-MaxReturn,train-StdReturn,train-AverageReturn,Time-Sampling,ItrTime,Time-Optimization,LossAfter,train-EnvExecTime,train-PolicyExecTime
83,-1.1085753e-05,29.34149345502289,840000,100,25.647219292137184,0.03826475143432617,721.2240831851959,36.10332379262676,1.6477033708332047,33.09562934621894,5.818126440048218,6.071584224700928,0.2149643898010254,-0.0012015724,2.059072256088257,3.5729904174804688
84,-1.1025764e-05,26.143032420507758,850000,100,25.671916350405436,0.03852081298828125,727.200813293457,36.23125064504846,1.5761077023262844,33.088568607694235,5.7112720012664795,5.966728925704956,0.21659564971923828,0.0010555187,2.0619938373565674,3.4705233573913574
85,-1.097789e-05,29.26740807103388,860000,100,25.510020561662117,0.03876781463623047,733.2551608085632,35.65438020055608,1.3175813588895995,32.879067644459134,5.790616512298584,6.044385671615601,0.2147974967956543,0.00053008785,2.090226888656616,3.5163440704345703
86,-1.0912704e-05,29.542623792497775,870000,100,25.600482937403605,0.0293581485748291,739.5024321079254,37.48734635844222,1.4905280693137815,32.91040181691769,5.952617883682251,6.237411022186279,0.25522923469543457,0.007624362,2.1537506580352783,3.610543966293335
87,-1.0890057e-05,29.52212290423058,880000,100,25.408284988842084,0.03332710266113281,746.5911009311676,36.242292506238584,1.2137415255525914,32.57811049813178,6.766603231430054,7.077573776245117,0.2773594856262207,-0.0014546128,2.4685959815979004,4.0877673625946045
88,-1.0851346e-05,29.401254212739317,890000,100,25.562718976414576,0.05077528953552246,755.517157793045,35.64210508866875,1.3110333080082528,32.77243990011722,8.654603004455566,8.91199517250061,0.20629572868347168,0.006254102,3.138699531555176,5.2531609535217285
89,-1.0820981e-05,29.906804786974643,900000,100,25.775166656456566,0.059595346450805664,761.3598084449768,36.06480063402093,1.3940349069574287,33.17326654408716,5.548804044723511,5.833041667938232,0.22439217567443848,0.007878415,1.9989194869995117,3.3748598098754883
90,-1.0779564e-05,29.593364775495797,910000,100,25.645441569026517,0.028179645538330078,767.8932189941406,36.5618246671282,1.3553461695763218,33.20288177336856,6.2693727016448975,6.524304389953613,0.2265641689300537,-0.0020105948,2.1945064067840576,3.878624677658081
91,-1.0754389e-05,29.47140607319298,920000,100,25.814821840911865,0.03223562240600586,773.9582533836365,36.59139309348053,1.3477230404144016,33.26242070090982,5.799939393997192,6.054982900619507,0.22250676155090332,-0.0018559167,2.09322190284729,3.517704486846924
92,-1.07041005e-05,24.832448289787912,930000,100,25.805518206135176,0.03496050834655762,780.4341385364532,36.702588795815046,1.6751515002090658,33.27228758685527,6.18315052986145,6.464951038360596,0.2463836669921875,-0.0025676738,2.2237813472747803,3.7655341625213623
93,-1.0676816e-05,27.501752657775686,940000,100,25.829698663240812,0.03680777549743652,787.6022508144379,36.59897524226876,1.5210413404196237,33.364520920864905,6.887209892272949,7.1564295291900635,0.2320880889892578,-0.0013781744,2.483638048171997,4.18847918510437
94,-1.06428815e-05,29.665675641604402,950000,100,25.72316994202873,0.049970388412475586,796.7620565891266,36.96177280354114,1.3523092473357283,33.23546752534758,8.774730443954468,9.149258613586426,0.3241450786590576,-0.0025033518,3.145557165145874,5.361405372619629
95,-1.0608769e-05,28.093502378265672,960000,100,25.982165189186425,0.04683494567871094,805.9689855575562,37.31416161570868,1.5321216584173902,33.50147972308368,8.81224799156189,9.188667297363281,0.32901501655578613,-0.0006398638,3.194366455078125,5.346776723861694
96,-1.0566174e-05,29.19402566474582,970000,100,25.84591369473794,0.04146409034729004,814.9730956554413,37.7456019209004,1.6272005972275838,33.43361759999238,8.637634992599487,8.986795902252197,0.3072817325592041,-0.00067912065,3.118635416030884,5.256903886795044
97,-1.0511848e-05,30.336315710190497,980000,100,26.011176355083702,0.058666229248046875,823.3127975463867,36.41947282532573,1.3640243375669923,33.59544415429362,8.066905975341797,8.324109077453613,0.19830679893493652,-0.0014918087,2.903197765350342,4.9177656173706055
98,-1.0494551e-05,30.88020133758504,990000,100,26.016328891054705,0.02035069465637207,829.0765759944916,36.30709123228667,1.2806692398924697,33.54320702676407,5.513840436935425,5.754095077514648,0.21960806846618652,-0.0023615677,1.984044075012207,3.3556108474731445
99,-1.0423399e-05,29.207568255026057,1000000,100,25.905006875090418,0.030771970748901367,834.9828853607178,37.43695754013425,1.4782979510022018,33.52022004987501,5.65231466293335,5.897465705871582,0.2140965461730957,-0.0032868478,2.034978151321411,3.4383857250213623
100,-1.037399e-05,29.485796061505773,1010000,100,25.8736514046925,0.06433629989624023,841.0038888454437,37.95386323857545,1.6266568873540344,33.511129579616394,5.741379976272583,6.010457515716553,0.20455074310302734,-0.0019893066,2.0674030780792236,3.4923551082611084
